"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-SAOUHSC_00065",7.83402433861498,-0.562666967462631,0.509031368604117,-1.0999412454336,0.271357722340423,0.670051199402049
"gene-SAOUHSC_00067",31.3012948146743,0.0915738052662117,0.349404025216479,0.261656720110722,0.793586110587446,0.958777182821305
"gene-SAOUHSC_00069",50.55509592601,0.311815442642591,0.508256214239864,0.615796641191659,0.538028744489425,0.86217557359927
"gene-SAOUHSC_00070",13.2182078971068,1.4345428467453,0.503470099047988,2.90000073024624,0.00373161790714839,0.0996875069481069
"gene-SAOUHSC_00071",6.25171570940194,0.686301352352825,0.434529508288151,1.5672204344527,0.117063175646727,0.494924421029438
"gene-SAOUHSC_00072",5.95319741861848,0.244271873135373,0.491475254405379,0.496861087610201,0.619287013567898,0.889474541691239
"gene-SAOUHSC_00074",4.79091344344972,0.0506998609515485,0.485733023180566,0.10558707523382,0.915909979891601,0.989328982096502
"gene-SAOUHSC_00076",0.565496148824148,-0.355170327543883,0.481509097880418,-0.701374018737446,0.483069631732059,NA
"gene-SAOUHSC_00077",4.73345591504356,-0.202176022592165,0.467432113804015,-0.430078517895038,0.667138526102563,0.907608431344558
"gene-SAOUHSC_00078",7.05453423125976,0.990158190840294,0.49928082454692,1.97191681667177,0.0486191032303235,0.336732307558167
"gene-SAOUHSC_00079",8.49186374149874,0.140605947166731,0.503303956729877,0.278444268686938,0.78067134104955,0.954721134684259
"gene-SAOUHSC_00080",13.7071545359629,-0.0833156413122352,0.459788844875531,-0.180480798316567,0.856775127592962,0.973646412389879
"gene-SAOUHSC_00081",9.30955550668322,-0.890726024629838,0.472649066611525,-1.86622625039938,0.0620097179089498,0.38123450231165
"gene-SAOUHSC_00082",8.38863079477544,0.478838378435063,0.385758872412914,1.24458028436393,0.213286071231944,0.621430229426121
"gene-SAOUHSC_00083",1.31813598684141,0.838601300136415,0.499231999627187,1.64704697846778,0.0995483900719564,NA
"gene-SAOUHSC_00086",4503.05655097886,0.536299509492627,0.442407066613419,1.21540585000696,0.224211337928591,0.62622432952221
"gene-SAOUHSC_00088",1.04195680637871,0.314390375370661,0.489994474072506,0.665796393797087,0.505541250214317,NA
"gene-SAOUHSC_00089",1.18534486171576,0.240120158447227,0.413104357577392,0.616228802332072,0.537743521488199,NA
"gene-SAOUHSC_00090",1.12712493478026,-0.443393045714012,0.511253997384102,-0.844886548109877,0.398174185751941,NA
"gene-SAOUHSC_00092",13.554080114944,0.0729314721655642,0.442757608793447,0.165818763762136,0.868299579199755,0.977781058838795
"gene-SAOUHSC_00093",1.7821565709124,-0.933309441653563,0.515672278607502,-1.76078376342511,0.0782750089790803,NA
"gene-SAOUHSC_00094",88.4240932959186,1.11408170051099,0.506279360771684,2.25479392412886,0.0241462668364316,0.247108810360894
"gene-SAOUHSC_00096",30.4031083079133,0.744389564768949,0.341890965114502,2.17704986206091,0.0294768473413827,0.26146586424008
"gene-SAOUHSC_00097",7.11787699201039,1.16813735265424,0.499573919112161,2.3162319465781,0.0205456077832371,0.230941613170047
"gene-SAOUHSC_00099",23.342048919379,0.956621711856549,0.45478532015395,2.10508945845589,0.0352835216799216,0.283378202033945
"gene-SAOUHSC_00100",48.149718821911,0.697602737796316,0.426861958260563,1.6350223315459,0.102044366311543,0.463592272167429
"gene-SAOUHSC_00101",253.976534656208,0.111411437145573,0.314422930616867,0.354311943135439,0.723105118237319,0.931301601708283
"gene-SAOUHSC_00102",5.0860266682462,-0.61224976985932,0.513836222732705,-1.17665134116475,0.239334696713287,0.644252442723637
"gene-SAOUHSC_00103",8.64079747739725,-0.442352090288008,0.464119308922976,-0.948062664381708,0.343097553749279,0.724615618197189
"gene-SAOUHSC_00104",2.83150544370704,-0.659767521964463,0.511690331406737,-1.25792401347401,0.208419238227275,0.61774981705116
"gene-SAOUHSC_00105",2.19433062415906,-0.0167456443642201,0.518897096912611,-0.0313782588160881,0.974967879563788,0.996147194560696
"gene-SAOUHSC_00106",7.6836994197702,-0.372609992797869,0.499323655876597,-0.752064346932306,0.452012363349958,0.794335996673853
"gene-SAOUHSC_00107",18.6403601088876,-0.510467074441905,0.403704497884059,-1.26659984457874,0.205298408061557,0.612915566593067
"gene-SAOUHSC_00113",23.1704805815671,-0.0766648680117988,0.453880143722273,-0.168157169625634,0.866459634755816,0.97714225257276
"gene-SAOUHSC_00114",9.28100610180209,0.816393958475204,0.474078668785389,1.72139171407294,0.0851797668293057,0.431716508015948
