"","SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_trimmed_R2","SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R1","SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R2","SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R1","SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R2","SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R1","SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R2","SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R1","SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R2","SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R1","SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R2","SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_trimmed_R1"
"gene-SAOUHSC_01702",2.78164797512025,4.55053978281556,4.5514161372557,4.12661895681421,3.24204606071223,3.07512880396197,2.78657514708873,2.95504881649884,2.69899025139293,3.65121037615674,3.62643690011555,3.33645854056697
"gene-SAOUHSC_01705",2.06878226500577,4.22750356478632,4.22830156595527,4.12661895681421,4.09873108783263,3.28968107762226,2.06878226500577,2.06878226500577,2.06878226500577,2.06878226500577,2.06878226500577,2.06878226500577
"gene-SAOUHSC_01706",3.06717203439308,2.06878226500577,2.06878226500577,3.71123585042146,3.5584771984786,2.78743812217524,2.78657514708873,3.4400290875847,3.14397761100006,2.80448087298327,2.06878226500577,3.15885988835518
"gene-SAOUHSC_01707",7.61808511900488,5.67004490356512,5.90783283455326,6.99153979011423,6.94875724525066,6.68372212966168,6.72458605085508,6.89883337928627,6.93210813492738,6.99479590348901,6.99761684300546,5.81815768710913
"gene-SAOUHSC_01708",4.06588324600971,3.50501103140423,3.50559044761364,4.50740150369272,4.54015397400442,3.61703834147931,3.74867423971654,4.17259926732473,4.02278736926237,3.09852866576036,3.08155736832759,3.38925738400035
"gene-SAOUHSC_01709",5.62421918699059,3.50501103140423,3.50559044761364,4.57205187032831,4.60136750310951,5.42799815625382,5.56201463225668,4.93961606485205,4.97350452596892,4.30474167076791,4.50408562778194,4.17717509171732
"gene-SAOUHSC_01710",2.93758232796061,2.06878226500577,2.06878226500577,2.06878226500577,2.06878226500577,2.78743812217524,2.78657514708873,2.70031371626588,2.69899025139293,3.09852866576036,3.08155736832759,3.01820889575223
"gene-SAOUHSC_01711",4.8948571974101,3.10442823974499,2.06878226500577,4.12661895681421,4.00806311410586,3.46577836844877,3.28826805657536,4.47925824505226,4.47505843123992,4.46509261267787,4.43125704895884,4.17717509171732
"gene-SAOUHSC_01712",4.06588324600971,4.03023732252689,4.22830156595527,4.212114862109,4.26286580784653,3.07512880396197,3.28826805657536,2.70031371626588,2.95321905342805,3.78707919943132,4.09173945554806,3.73882161824218
"gene-SAOUHSC_01714",3.6736264911407,5.60417228903111,5.03095334375318,5.87069168283346,5.5575531118245,3.07512880396197,3.07394312994191,4.58458004389763,4.23599871275623,4.5385943701496,4.27245638546164,5.26233477985778
"gene-SAOUHSC_01715",7.62574454708484,7.47182922724488,7.47302956209389,7.26205165346738,7.34560386501612,7.07386416195871,7.08188467573532,7.05780920833151,7.08701356940474,7.86734225730064,7.85320149856522,8.02106396120808
"gene-SAOUHSC_01716",7.68192855874857,6.83650290424213,6.94746896784041,6.84718777821449,6.84209280302542,6.14655110668169,6.34558304493104,6.32285827158661,6.52316469392525,7.41829503734625,7.37078852485534,6.49889808042749
"gene-SAOUHSC_01717",6.81048704580102,6.83650290424213,6.83767223852321,6.16347044703286,6.18249124090702,4.49095745921361,4.74504764525888,6.38072166266249,6.37516301777696,7.38016142356078,7.38015095422579,7.28950118475733
"gene-SAOUHSC_01718",3.17976787801847,3.10442823974499,3.10486155761016,3.58033186783366,3.80422676150409,2.78743812217524,2.78657514708873,2.70031371626588,2.69899025139293,2.80448087298327,2.79211803131699,2.74607185840935
"gene-SAOUHSC_01719",4.28611986922084,5.46248866248985,4.22830156595527,3.43214455742864,3.91035118062374,4.55981236096477,3.46418846672221,5.61093270794645,3.66653160299657,5.29117246657776,4.18524412778461,4.09525881717033
"gene-SAOUHSC_01720",8.2634832032135,9.13229138595453,8.76545359793435,8.31715785004467,8.16376232167088,9.53458717760321,8.81852457678665,9.83383782010502,9.37134127702564,8.22007152799291,7.58023257892236,7.89351472786897
"gene-SAOUHSC_01721",8.52943799231613,8.89306300123246,8.91469765297251,8.08499984425877,8.17843575215359,9.49476304590192,9.48060073101037,9.71126489707676,9.71358710549544,7.99264529019205,7.88642155990938,7.51434768855604
"gene-SAOUHSC_01722",7.12903082734415,4.68696388841515,5.4635284899804,6.61418942131632,6.71349348122254,6.54256326172932,6.79524548813314,5.95460246594042,6.49736504196164,6.71717314800399,6.8300026848359,6.21702012355324
