"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-SAOUHSC_00024",13.671645322808,1.69608302322477,0.681980342752801,2.48699693656647,0.012882650834975,0.189282948339598
"gene-SAOUHSC_00025",12.6805011498908,1.04493830427841,0.493461580729395,2.11756769946278,0.0342116961432569,0.281853469696916
"gene-SAOUHSC_00026",2.89135189542117,-4.08271142763599,1.37822762294449,-2.96229110465333,0.00305358933632266,0.0860442912988452
"gene-SAOUHSC_00027",4.51213226413836,-2.78887015704959,1.15851253185274,-2.40728527346141,NA,NA
"gene-SAOUHSC_00030",4.16311899089416,0.584637259741417,1.11014867303616,0.526629697392228,0.5984507648759,0.888378364223801
"gene-SAOUHSC_00031",4.38884434247,1.06763771366796,1.47188698450609,0.725353050136669,0.468235468134086,0.811899764273507
"gene-SAOUHSC_00033",11.4955674017601,0.600443480475702,1.09365595867143,0.549024101880376,0.582988909665586,0.882628416465045
"gene-SAOUHSC_00034",5.40853566943376,0.613798305884418,1.51044150664019,0.406370126341233,0.684470666274697,0.916856123925867
"gene-SAOUHSC_00035",14.4782077153981,0.664772582734308,1.29413771483737,0.513679939246533,0.607475779683743,0.888787403866476
"gene-SAOUHSC_00036",119.706394591871,-0.0653933615500267,1.48972644256382,-0.0438962212669626,0.964987127391494,0.99532679523297
"gene-SAOUHSC_00037",99.151661698583,0.499771331933854,1.17926797961202,0.423797932763577,0.671713185874548,0.909620818527943
"gene-SAOUHSC_00039",17.1817839357192,0.579909174745794,0.561784186370651,1.03226325840931,0.301948808072462,0.698659952986563
"gene-SAOUHSC_00042",0.979144993136992,-0.190266548966177,1.55912995835638,-0.122033797084339,0.902872252091727,NA
"gene-SAOUHSC_00043",1.26379002746122,2.82269374954608,1.79650749624311,1.57121178478183,0.116133463610491,NA
"gene-SAOUHSC_00044",1.14914312122916,3.12804611398477,2.04336522422003,1.53083064980651,0.12581125247433,NA
"gene-SAOUHSC_00047",11.3165454432566,0.786740803471465,0.895700927064783,0.878352114750644,0.379752662222896,0.754006975089284
"gene-SAOUHSC_00049",3.51240962438422,0.730226044000614,0.956414036715044,0.763504105929574,0.445162814574705,0.790892294877457
"gene-SAOUHSC_00051",1.03195720298473,0.0925209676434978,1.63704426526241,0.0565170836285646,0.954929886508856,NA
"gene-SAOUHSC_00055",3.05169400022713,1.32447327459177,1.26748259864688,1.0449636752455,0.296039758366054,0.695948408115468
"gene-SAOUHSC_00056",42.0513514666455,-0.226121129126268,0.404007968435602,-0.559694725828932,0.57568768043507,0.878124598367365
"gene-SAOUHSC_00057",25.0847245234582,-0.348830988419872,0.7856216937126,-0.444019037676272,0.657028819913016,0.901742866281567
"gene-SAOUHSC_00058",75.99450045335,0.275625799389944,0.63817653197225,0.431895855740946,0.665817106961513,0.906410184659055
"gene-SAOUHSC_00060",144.19091194788,-0.474150086179033,0.324588295917337,-1.4607738237727,0.144077521674829,0.539899170266796
"gene-SAOUHSC_00061",110.845709123069,1.66375567462549,0.564538398876145,2.94710807615144,0.00320761074315145,0.0891629094413855
"gene-SAOUHSC_00065",7.83402433861498,-0.93924529170497,0.853904965928174,-1.0999412454336,0.271357722340423,0.670051199402049
"gene-SAOUHSC_00067",31.3012948146743,0.105127933536391,0.40177807583885,0.261656720110722,0.793586110587446,0.958777182821305
"gene-SAOUHSC_00069",50.55509592601,0.520948347068742,0.845974648482376,0.615796641191659,0.538028744489425,0.86217557359927
"gene-SAOUHSC_00070",13.2182078971068,2.39818086632668,0.826958711187307,2.90000073024624,0.00373161790714839,0.0996875069481069
"gene-SAOUHSC_00071",6.25171570940194,0.885141186745435,0.564784102661691,1.5672204344527,0.117063175646727,0.494924421029438
"gene-SAOUHSC_00072",5.95319741861848,0.370099763843839,0.744875726984262,0.496861087610201,0.619287013567898,0.889474541691239
"gene-SAOUHSC_00074",4.79091344344972,0.0758805221139279,0.718653508925141,0.10558707523382,0.915909979891601,0.989328982096502
"gene-SAOUHSC_00076",0.565496148824148,-1.06596442238247,1.51982308141572,-0.701374018737446,0.483069631732059,NA
"gene-SAOUHSC_00077",4.73345591504356,-0.28035684718357,0.651873635901974,-0.430078517895038,0.667138526102563,0.907608431344558
"gene-SAOUHSC_00078",7.05453423125976,1.56717817087886,0.79474862105186,1.97191681667177,0.0486191032303235,0.336732307558167
"gene-SAOUHSC_00079",8.49186374149874,0.225451906515591,0.809684133843933,0.278444268686938,0.78067134104955,0.954721134684259
"gene-SAOUHSC_00080",13.7071545359629,-0.113387282250862,0.628251222891747,-0.180480798316567,0.856775127592962,0.973646412389879
"gene-SAOUHSC_00081",9.30955550668322,-1.25326616245487,0.671551030957081,-1.86622625039938,0.0620097179089498,0.38123450231165
"gene-SAOUHSC_00082",8.38863079477544,0.576588262448959,0.463279283540665,1.24458028436393,0.213286071231944,0.621430229426121
"gene-SAOUHSC_00083",1.31813598684141,2.393221971093,1.45303807503983,1.64704697846778,0.0995483900719564,NA
"gene-SAOUHSC_00086",4503.05655097886,0.706260733584967,0.581090451046391,1.21540585000696,0.224211337928591,0.62622432952221
"gene-SAOUHSC_00088",1.04195680637871,0.990812128648553,1.48816085199542,0.665796393797087,0.505541250214317,NA
"gene-SAOUHSC_00089",1.18534486171576,1.30932259421563,2.1247344967658,0.616228802332072,0.537743521488199,NA
"gene-SAOUHSC_00090",1.12712493478026,-1.04483750900525,1.23666013069173,-0.844886548109877,0.398174185751941,NA
